4LFTX.surface                                               Best (4 layer) Lifted Index
FRICV.surface                                               Frictional Velocity
GRLE.1000_mb                                                Graupel
GRLE.100_mb                                                 Graupel
GRLE.150_mb                                                 Graupel
GRLE.1_hybrid_level                                         Graupel
GRLE.200_mb                                                 Graupel
GRLE.250_mb                                                 Graupel
GRLE.300_mb                                                 Graupel
GRLE.350_mb                                                 Graupel
GRLE.400_mb                                                 Graupel
GRLE.450_mb                                                 Graupel
GRLE.500_mb                                                 Graupel
GRLE.50_mb                                                  Graupel
GRLE.550_mb                                                 Graupel
GRLE.600_mb                                                 Graupel
GRLE.650_mb                                                 Graupel
GRLE.700_mb                                                 Graupel
GRLE.750_mb                                                 Graupel
GRLE.800_mb                                                 Graupel
GRLE.850_mb                                                 Graupel
GRLE.900_mb                                                 Graupel
GRLE.925_mb                                                 Graupel
GRLE.950_mb                                                 Graupel
GRLE.975_mb                                                 Graupel
GUST.surface                                                Wind Speed (Gust)
HCDC.high_cloud_layer                                       High Cloud Cover
HGT.0.01_mb                                                 Geopotential Height
HGT.0.02_mb                                                 Geopotential Height
HGT.0.04_mb                                                 Geopotential Height
HGT.0.07_mb                                                 Geopotential Height
HGT.0.1_mb                                                  Geopotential Height
HGT.0.2_mb                                                  Geopotential Height
HGT.0.4_mb                                                  Geopotential Height
HGT.0.7_mb                                                  Geopotential Height
HGT.0C_isotherm                                             Geopotential Height
HGT.1000_mb                                                 Geopotential Height
HGT.100_mb                                                  Geopotential Height
HGT.10_mb                                                   Geopotential Height
HGT.150_mb                                                  Geopotential Height
HGT.15_mb                                                   Geopotential Height
HGT.1_mb                                                    Geopotential Height
HGT.200_mb                                                  Geopotential Height
HGT.20_mb                                                   Geopotential Height
HGT.250_mb                                                  Geopotential Height
HGT.2_mb                                                    Geopotential Height
HGT.300_mb                                                  Geopotential Height
HGT.30_mb                                                   Geopotential Height
HGT.350_mb                                                  Geopotential Height
HGT.3_mb                                                    Geopotential Height
HGT.400_mb                                                  Geopotential Height
HGT.40_mb                                                   Geopotential Height
HGT.450_mb                                                  Geopotential Height
HGT.500_mb                                                  Geopotential Height
HGT.50_mb                                                   Geopotential Height
HGT.550_mb                                                  Geopotential Height
HGT.5_mb                                                    Geopotential Height
HGT.600_mb                                                  Geopotential Height
HGT.650_mb                                                  Geopotential Height
HGT.700_mb                                                  Geopotential Height
HGT.70_mb                                                   Geopotential Height
HGT.750_mb                                                  Geopotential Height
HGT.7_mb                                                    Geopotential Height
HGT.800_mb                                                  Geopotential Height
HGT.850_mb                                                  Geopotential Height
HGT.900_mb                                                  Geopotential Height
HGT.925_mb                                                  Geopotential Height
HGT.950_mb                                                  Geopotential Height
HGT.975_mb                                                  Geopotential Height
HGT.PV2e06Km2kgs_surface                                    Geopotential Height
HGT.PVNeg2e06Km2kgs_surface                                 Geopotential Height
HGT.cloud_ceiling                                           Geopotential Height
HGT.highest_tropospheric_freezing_level                     Geopotential Height
HGT.max_wind                                                Geopotential Height
HGT.surface                                                 Geopotential Height
HGT.tropopause                                              Geopotential Height
HINDEX.surface                                              Haines Index
HLCY.3000-0_m_above_ground                                  Storm Relative Helicity
HPBL.surface                                                Planetary Boundary Layer Height
ICAHT.max_wind                                              ICAO Standard Atmosphere Reference Height
ICAHT.tropopause                                            ICAO Standard Atmosphere Reference Height
ICEC.surface                                                Ice Cover
ICEG.10_m_above_mean_sea_level                              Ice Growth Rate
ICETK.surface                                               Ice Thickness
ICETMP.surface                                              Ice Temperature
ICMR.1000_mb                                                Ice Water Mixing Ratio
ICMR.100_mb                                                 Ice Water Mixing Ratio
ICMR.150_mb                                                 Ice Water Mixing Ratio
ICMR.1_hybrid_level                                         Ice Water Mixing Ratio
ICMR.200_mb                                                 Ice Water Mixing Ratio
ICMR.250_mb                                                 Ice Water Mixing Ratio
ICMR.300_mb                                                 Ice Water Mixing Ratio
ICMR.350_mb                                                 Ice Water Mixing Ratio
ICMR.400_mb                                                 Ice Water Mixing Ratio
ICMR.450_mb                                                 Ice Water Mixing Ratio
ICMR.500_mb                                                 Ice Water Mixing Ratio
ICMR.50_mb                                                  Ice Water Mixing Ratio
ICMR.550_mb                                                 Ice Water Mixing Ratio
ICMR.600_mb                                                 Ice Water Mixing Ratio
ICMR.650_mb                                                 Ice Water Mixing Ratio
ICMR.700_mb                                                 Ice Water Mixing Ratio
ICMR.750_mb                                                 Ice Water Mixing Ratio
ICMR.800_mb                                                 Ice Water Mixing Ratio
ICMR.850_mb                                                 Ice Water Mixing Ratio
ICMR.900_mb                                                 Ice Water Mixing Ratio
ICMR.925_mb                                                 Ice Water Mixing Ratio
ICMR.950_mb                                                 Ice Water Mixing Ratio
ICMR.975_mb                                                 Ice Water Mixing Ratio
LAND.surface                                                Land Cover (0=sea, 1=land)
LCDC.low_cloud_layer                                        Low Cloud Cover
LFTX.surface                                                Surface Lifted Index
MCDC.middle_cloud_layer                                     Medium Cloud Cover
MSLET.mean_sea_level                                        MSLP (Eta model reduction)
O3MR.0.01_mb                                                Ozone Mixing Ratio
O3MR.0.02_mb                                                Ozone Mixing Ratio
O3MR.0.04_mb                                                Ozone Mixing Ratio
O3MR.0.07_mb                                                Ozone Mixing Ratio
O3MR.0.1_mb                                                 Ozone Mixing Ratio
O3MR.0.2_mb                                                 Ozone Mixing Ratio
O3MR.0.4_mb                                                 Ozone Mixing Ratio
O3MR.0.7_mb                                                 Ozone Mixing Ratio
O3MR.1000_mb                                                Ozone Mixing Ratio
O3MR.100_mb                                                 Ozone Mixing Ratio
O3MR.10_mb                                                  Ozone Mixing Ratio
O3MR.150_mb                                                 Ozone Mixing Ratio
O3MR.15_mb                                                  Ozone Mixing Ratio
O3MR.1_mb                                                   Ozone Mixing Ratio
O3MR.200_mb                                                 Ozone Mixing Ratio
O3MR.20_mb                                                  Ozone Mixing Ratio
O3MR.250_mb                                                 Ozone Mixing Ratio
O3MR.2_mb                                                   Ozone Mixing Ratio
O3MR.300_mb                                                 Ozone Mixing Ratio
O3MR.30_mb                                                  Ozone Mixing Ratio
O3MR.350_mb                                                 Ozone Mixing Ratio
O3MR.3_mb                                                   Ozone Mixing Ratio
O3MR.400_mb                                                 Ozone Mixing Ratio
O3MR.40_mb                                                  Ozone Mixing Ratio
O3MR.450_mb                                                 Ozone Mixing Ratio
O3MR.500_mb                                                 Ozone Mixing Ratio
O3MR.50_mb                                                  Ozone Mixing Ratio
O3MR.550_mb                                                 Ozone Mixing Ratio
O3MR.5_mb                                                   Ozone Mixing Ratio
O3MR.600_mb                                                 Ozone Mixing Ratio
O3MR.650_mb                                                 Ozone Mixing Ratio
O3MR.700_mb                                                 Ozone Mixing Ratio
O3MR.70_mb                                                  Ozone Mixing Ratio
O3MR.750_mb                                                 Ozone Mixing Ratio
O3MR.7_mb                                                   Ozone Mixing Ratio
O3MR.800_mb                                                 Ozone Mixing Ratio
O3MR.850_mb                                                 Ozone Mixing Ratio
O3MR.900_mb                                                 Ozone Mixing Ratio
O3MR.925_mb                                                 Ozone Mixing Ratio
O3MR.950_mb                                                 Ozone Mixing Ratio
O3MR.975_mb                                                 Ozone Mixing Ratio
PLPL.255-0_mb_above_ground                                  Pressure of level from which parcel was lifted
POT.0.995_sigma_level                                       Potential Temperature
PRATE.surface                                               Precipitation Rate
PRES.80_m_above_ground                                      Pressure
PRES.PV2e06Km2kgs_surface                                   Pressure
PRES.PVNeg2e06Km2kgs_surface                                Pressure
PRES.max_wind                                               Pressure
PRES.surface                                                Pressure
PRES.tropopause                                             Pressure
PRMSL.mean_sea_level                                        Pressure Reduced to MSL
PWAT.entire_atmosphere_considered_as_a_single_layer         Precipitable Water
REFC.entire_atmosphere                                      Composite reflectivity
REFD.1000_m_above_ground                                    Reflectivity
REFD.1_hybrid_level                                         Reflectivity
REFD.2_hybrid_level                                         Reflectivity
REFD.4000_m_above_ground                                    Reflectivity
RH.0.01_mb                                                  Relative Humidity
RH.0.02_mb                                                  Relative Humidity
RH.0.04_mb                                                  Relative Humidity
RH.0.07_mb                                                  Relative Humidity
RH.0.1_mb                                                   Relative Humidity
RH.0.2_mb                                                   Relative Humidity
RH.0.33-1_sigma_layer                                       Relative Humidity
RH.0.44-0.72_sigma_layer                                    Relative Humidity
RH.0.44-1_sigma_layer                                       Relative Humidity
RH.0.4_mb                                                   Relative Humidity
RH.0.72-0.94_sigma_layer                                    Relative Humidity
RH.0.7_mb                                                   Relative Humidity
